,id,genero,carro,bens_propriedade,filhos,renda_anual,tipo_renda,escolaridade,estado_civil,estilo_vida,contar_aniverisario,desempregado,celular,telefone_comercial,telefone,email_id,tipo_ocupação,tamanho_familia,status
0,5008827,M,Y,Y,0,180000.0,Pensionista,Ensino superior,Casado,Casa/Apartamento,-18772.0,365243,1,0,0,0,Prefiro não informar,2,0
1,5009744,F,Y,N,0,315000.0,Associado Comercial,Ensino superior,Casado,Casa/Apartamento,-13557.0,-586,1,1,1,0,Prefiro não informar,2,0
2,5009746,F,Y,N,0,315000.0,Associado Comercial,Ensino superior,Casado,Casa/Apartamento,,-586,1,1,1,0,Prefiro não informar,2,0
3,5009749,F,Y,N,0,172243.04,Associado Comercial,Ensino superior,Casado,Casa/Apartamento,-13557.0,-586,1,1,1,0,Prefiro não informar,2,0
4,5009752,F,Y,N,0,315000.0,Associado Comercial,Ensino superior,Casado,Casa/Apartamento,-13557.0,-586,1,1,1,0,Prefiro não informar,2,0
5,5009754,F,Y,N,0,315000.0,Associado Comercial,Ensino superior,Casado,Casa/Apartamento,-13557.0,-586,1,1,1,0,Prefiro não informar,2,0
6,5009894,F,N,N,0,180000.0,Pensionista,Ensino medio,Casado,Casa/Apartamento,-22134.0,365243,1,0,0,0,Prefiro não informar,2,0
7,5010864,M,Y,Y,1,450000.0,Associado Comercial,Ensino medio,Casado,Casa/Apartamento,-18173.0,-678,1,0,1,1,Core staff,3,0
8,5010868,M,Y,Y,1,450000.0,Pensionista,Ensino medio,Casado,Casa/Apartamento,-18173.0,-678,1,0,1,1,Core staff,3,0
9,5010869,M,Y,Y,1,450000.0,Associado Comercial,Ensino medio,Solteiro,Casa/Apartamento,-18173.0,-678,1,0,1,1,Core staff,1,0
10,5018498,F,Y,Y,0,90000.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-18950.0,-1002,1,1,1,0,Cozinha,2,0
11,5018501,F,Y,Y,0,172243.04,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-18950.0,-1002,1,1,1,0,Cozinha,2,0
12,5018503,F,Y,Y,0,90000.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-18950.0,-1002,1,1,1,0,Cozinha,2,0
13,5021303,M,N,N,1,472500.0,Pensionista,Ensino superior,Casado,Com os pais,-8907.0,-913,1,0,0,1,Prefiro não informar,3,0
14,5021310,M,N,Y,0,270000.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-16896.0,-248,1,0,0,0,Funcionario,2,0
15,5021314,M,N,Y,0,270000.0,CLT/PJ,Ensino medio,Solteiro,Casa/Apartamento,-16896.0,-248,1,0,0,0,Funcionario,2,0
16,5021430,F,N,Y,0,126000.0,Associado Comercial,Ensino superior,Solteiro,Casa/Apartamento,-18907.0,-2470,1,0,0,0,Vendas,1,0
17,5021431,F,N,Y,0,126000.0,Associado Comercial,Ensino superior,Solteiro,Casa/Apartamento,-18907.0,-2470,1,0,0,0,Vendas,1,0
18,5021998,M,N,Y,0,90000.0,Pensionista,Ensino medio,Casado,Casa/Apartamento,-18863.0,-1644,1,0,0,1,Prefiro não informar,2,0
19,5022053,M,N,N,0,202500.0,CLT/PJ,Ensino superior,Solteiro,Casa/Apartamento,-12811.0,-4327,1,0,0,0,Prefiro não informar,1,0
20,5022617,M,Y,Y,0,202500.0,Associado Comercial,Ensino medio,Uniao Estavel,Casa/Apartamento,-12022.0,-1674,1,0,0,1,Funcionario,2,0
21,5023781,M,N,Y,0,157500.0,Associado Comercial,Ensino superior,Uniao Estavel,Casa/Apartamento,-17800.0,-1086,1,0,0,0,Contador,2,0
22,5023831,F,N,Y,2,112500.0,Associado Comercial,Ensino medio,Casado,Casa/Apartamento,-12135.0,-925,1,0,0,0,Vendas,4,0
23,5024071,F,N,Y,0,180000.0,CLT/PJ,Ensino superior,Casado,Casa/Apartamento,-15976.0,-854,1,0,0,0,Funcionario,2,0
24,5024213,F,Y,Y,0,540000.0,Associado Comercial,Ensino superior,Casado,Casa/Apartamento,-15702.0,-185,1,0,1,0,Prefiro não informar,2,0
25,5024916,F,N,Y,0,112500.0,Pensionista,Ensino medio,Casado,Casa/Apartamento,-21832.0,365243,1,0,1,0,Prefiro não informar,2,0
26,5024917,F,N,Y,0,172243.04,Pensionista,Ensino medio,Casado,Casa/Apartamento,-21832.0,365243,1,0,1,0,Prefiro não informar,2,0
27,5028580,M,N,N,0,540000.0,Associado Comercial,Ensino superior,Casado,Casa/Apartamento,-19996.0,-691,1,0,0,0,Gerente,2,0
28,5029028,F,N,Y,0,90000.0,CLT/PJ,Ensino fundamental,Solteiro,Apartamento alugado,-12026.0,-4770,1,0,0,0,Limpeza,2,0
29,5029311,F,N,Y,0,112500.0,Pensionista,Ensino medio,Casado,Casa/Apartamento,-21876.0,365243,1,0,1,1,Prefiro não informar,2,0
30,5033453,F,N,N,0,135000.0,CLT/PJ,Ensino superior,Solteiro,Casa/Apartamento,-10749.0,-2394,1,0,0,0,Funcionario,1,0
31,5033514,F,Y,N,1,135000.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-15952.0,-384,1,1,0,0,Vendas,3,0
32,5033916,M,N,Y,0,180000.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-13015.0,-3647,1,0,0,0,Prefiro não informar,2,0
33,5036469,M,Y,N,0,112500.0,Servidor do Estado,Ensino medio,Solteiro,Casa/Apartamento,-20333.0,-1546,1,0,0,0,Motorista,2,0
34,5036590,M,Y,Y,0,292500.0,CLT/PJ,Ensino superior,Casado,Casa/Apartamento,-21055.0,-808,1,0,0,0,Motorista,2,0
35,5036660,F,Y,Y,0,76500.0,Pensionista,Ensino medio,Casado,Casa/Apartamento,-23835.0,365243,1,0,0,0,Prefiro não informar,2,0
36,5036795,M,Y,Y,0,215100.0,Associado Comercial,Ensino medio,Casado,Casa/Apartamento,-19175.0,-1285,1,0,1,0,Funcionario,2,0
37,5041522,M,Y,Y,0,450000.0,Associado Comercial,Ensino superior,Divorciado,Casa/Apartamento,-16169.0,-855,1,1,1,0,Prefiro não informar,1,0
38,5042064,F,Y,N,2,270000.0,Servidor do Estado,Ensino superior,Casado,Casa/Apartamento,-16053.0,-7369,1,1,1,0,Prefiro não informar,4,0
39,5045888,F,N,Y,0,225000.0,Pensionista,Ensino medio,Solteiro,Casa/Apartamento,-23286.0,365243,1,0,0,0,Prefiro não informar,1,0
40,5045894,F,N,Y,0,225000.0,Pensionista,Ensino medio,Solteiro,Casa/Apartamento,-23286.0,365243,1,0,0,0,Prefiro não informar,1,0
41,5045895,F,N,Y,0,225000.0,Pensionista,Ensino medio,Solteiro,Casa/Apartamento,-23286.0,365243,1,0,0,0,Prefiro não informar,1,0
42,5046324,F,N,Y,1,157500.0,Associado Comercial,Ensino medio,Solteiro,Casa/Apartamento,-15466.0,-2269,1,0,1,0,Auxiliar/Aprendiz,3,0
43,5046328,F,N,Y,1,157500.0,Pensionista,Ensino medio,Solteiro,Casa/Apartamento,-15466.0,-2269,1,0,1,0,Auxiliar/Aprendiz,3,0
44,5047662,F,N,Y,1,67500.0,Associado Comercial,Ensino medio,Casado,Casa/Apartamento,-18880.0,-4114,1,0,0,0,Contador,3,0
45,5048300,M,Y,N,1,180000.0,Associado Comercial,Ensino medio,Casado,Casa/Apartamento,-11091.0,-1161,1,0,0,0,Funcionario,3,0
46,5048301,M,Y,N,1,180000.0,Associado Comercial,Ensino medio,Casado,Casa/Apartamento,-11091.0,-1161,1,0,0,0,Funcionario,3,0
47,5050603,M,N,N,0,157500.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-18327.0,-7288,1,1,0,0,Funcionario,2,0
48,5050606,M,N,N,0,157500.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-18327.0,-7288,1,1,0,0,Funcionario,2,0
49,5050671,M,N,N,0,171000.0,Associado Comercial,Superior incompleto,Solteiro,Casa/Apartamento,-11610.0,-166,1,1,1,0,Tech,1,0
50,5051160,M,Y,N,1,135000.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-9594.0,-866,1,0,0,0,Funcionario,3,0
51,5051161,M,Y,N,1,135000.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-9594.0,-866,1,0,0,0,Funcionario,3,0
52,5052659,F,N,Y,0,103500.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-10396.0,-564,1,0,0,1,TI,2,0
53,5052661,F,N,Y,0,103500.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-10396.0,-564,1,0,0,1,TI,2,0
54,5052877,M,Y,Y,0,225000.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-17915.0,-3366,1,0,0,0,Motorista,2,0
55,5052879,M,Y,Y,0,225000.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-17915.0,-3366,1,0,0,0,Motorista,2,0
56,5052882,M,Y,Y,0,225000.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-17915.0,-3366,1,0,0,0,Motorista,2,0
57,5053254,F,Y,Y,0,180000.0,Associado Comercial,Ensino medio,Casado,Casa/Apartamento,-18667.0,-2150,1,1,0,0,Gerente,2,0
58,5054063,M,N,N,1,157500.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-16424.0,-1458,1,0,0,0,Motorista,3,0
59,5054068,M,N,N,1,157500.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-16424.0,-1458,1,0,0,0,Motorista,1,0
60,5054524,F,N,N,2,180000.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-16611.0,-8369,1,0,0,0,Prefiro não informar,4,0
61,5054525,F,N,N,2,180000.0,CLT/PJ,Ensino medio,Solteiro,Casa/Apartamento,-16611.0,-8369,1,0,0,0,Prefiro não informar,4,0
62,5058345,F,N,Y,0,99000.0,Pensionista,Ensino superior,Divorciado,Casa/Apartamento,-24611.0,365243,1,0,0,0,Prefiro não informar,1,0
63,5058348,F,N,Y,0,172243.04,Pensionista,Ensino superior,Divorciado,Casa/Apartamento,-24611.0,365243,1,0,0,0,Prefiro não informar,1,0
64,5058350,M,N,Y,0,99000.0,Pensionista,Ensino superior,Divorciado,Casa/Apartamento,-24611.0,365243,1,0,0,0,Prefiro não informar,1,0
65,5058352,F,N,Y,0,99000.0,Pensionista,Ensino superior,Divorciado,Casa/Apartamento,-24611.0,365243,1,0,0,0,Prefiro não informar,1,0
66,5058530,M,N,N,0,391500.0,CLT/PJ,Ensino medio,Solteiro,Apartamento municipal,-9242.0,-508,1,0,0,0,Vendas,1,0
67,5058531,M,N,N,0,391500.0,CLT/PJ,Ensino medio,Solteiro,Apartamento municipal,-9242.0,-508,1,0,0,0,Vendas,1,0
68,5058532,M,N,N,0,391500.0,CLT/PJ,Ensino medio,Solteiro,Apartamento municipal,,-508,1,0,0,0,Vendas,1,0
69,5061360,M,N,Y,0,65250.0,Pensionista,Ensino superior,Casado,Casa/Apartamento,-20872.0,365243,1,0,0,0,Prefiro não informar,2,0
70,5061396,M,N,Y,0,72900.0,Pensionista,Ensino fundamental,Casado,Casa/Apartamento,-23423.0,365243,1,0,0,0,Prefiro não informar,2,0
71,5061636,F,N,Y,0,225000.0,Pensionista,Ensino medio,Casado,Apartamento municipal,-21664.0,365243,1,0,1,0,Prefiro não informar,2,0
72,5061691,F,N,Y,1,67500.0,Associado Comercial,Ensino superior,Casado,Casa/Apartamento,-9122.0,-1567,1,0,0,1,Garçom/Barmen,3,0
73,5062136,M,N,N,1,180000.0,CLT/PJ,Ensino medio,Solteiro,Casa/Apartamento,-12947.0,-137,1,0,0,0,Funcionario,2,0
74,5062137,M,N,Y,1,222626.83,CLT/PJ,Ensino medio,Solteiro,Casa/Apartamento,-12947.0,-137,1,0,0,0,Funcionario,2,0
75,5065348,F,Y,Y,0,202500.0,CLT/PJ,Ensino superior,Casado,Casa/Apartamento,-15160.0,-3974,1,0,0,0,Tech,2,0
76,5065462,F,N,N,0,157500.0,Associado Comercial,Ensino medio,Casado,Casa/Apartamento,-19004.0,-1570,1,0,0,0,Prefiro não informar,2,0
77,5065518,F,Y,N,1,202500.0,CLT/PJ,Ensino superior,Casado,Apartamento alugado,-9510.0,-2878,1,0,0,0,Funcionario,3,0
78,5068389,F,Y,Y,1,270000.0,CLT/PJ,Ensino superior,Divorciado,Casa/Apartamento,-14052.0,-140,1,0,1,0,Vendas,2,0
79,5068456,F,Y,N,0,135000.0,Associado Comercial,Ensino medio,Casado,Casa/Apartamento,-13581.0,-2576,1,0,0,0,Prefiro não informar,2,0
80,5069216,F,Y,Y,0,256500.0,Associado Comercial,Ensino superior,Casado,Casa/Apartamento,-11210.0,-1724,1,1,0,0,Contador,2,0
81,5069218,F,Y,Y,0,256500.0,Associado Comercial,Ensino superior,Solteiro,Casa/Apartamento,-11210.0,-1724,1,1,0,0,Contador,2,0
82,5069307,M,N,Y,0,157500.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-15640.0,-1328,1,0,0,0,Core staff,2,0
83,5078820,F,N,N,2,225000.0,Associado Comercial,Ensino medio,Casado,Casa/Apartamento,-14476.0,-4987,1,0,0,0,Tech,4,0
84,5078945,F,N,Y,2,180000.0,CLT/PJ,Superior incompleto,Divorciado,Casa/Apartamento,-12253.0,-3496,1,1,0,0,Prefiro não informar,3,0
85,5078946,F,N,Y,2,180000.0,CLT/PJ,Superior incompleto,Divorciado,Casa/Apartamento,-12253.0,-3496,1,1,0,0,Prefiro não informar,3,0
86,5079166,M,Y,N,0,202500.0,CLT/PJ,Ensino medio,Casado,Com os pais,-13720.0,-1394,1,0,0,0,Funcionario,2,0
87,5079167,M,Y,N,0,202500.0,CLT/PJ,Ensino medio,Casado,Com os pais,-13720.0,-1394,1,0,0,0,Funcionario,2,0
88,5079168,M,Y,N,0,202500.0,CLT/PJ,Ensino medio,Casado,Com os pais,-13720.0,-1394,1,0,0,0,Funcionario,2,0
89,5085886,M,Y,Y,0,315000.0,Associado Comercial,Ensino superior,Casado,Casa/Apartamento,-18661.0,-1265,1,0,0,0,Gerente,2,0
90,5089162,F,Y,N,0,225000.0,CLT/PJ,Ensino superior,Casado,Casa/Apartamento,-20264.0,-2531,1,1,1,0,Contador,2,0
91,5089959,M,N,Y,1,126000.0,Associado Comercial,Ensino medio,Uniao Estavel,Casa/Apartamento,-12755.0,-2105,1,0,0,0,Prefiro não informar,3,0
92,5090166,F,N,Y,1,675000.0,Associado Comercial,Ensino medio,Solteiro,Casa/Apartamento,-15452.0,-860,1,0,0,0,Segurança,2,0
93,5090214,M,Y,Y,0,135000.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-10712.0,-217,1,0,0,0,Funcionario,2,0
94,5090216,M,Y,Y,0,135000.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-10712.0,-217,1,0,0,0,Funcionario,2,0
95,5092087,M,Y,Y,2,247500.0,CLT/PJ,Ensino medio,Casado,Casa/Apartamento,-17320.0,-535,1,0,0,0,Funcionario,4,0
96,5092245,F,N,N,0,103500.0,Pensionista,Ensino medio,Casado,Casa/Apartamento,-22111.0,365243,1,0,0,0,Prefiro não informar,2,0
